ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,price_anomaly,pct_chg_anomaly,avg_price,amplitude
600519.SH,2020-01-02,1128.0,1145.06,1116.0,1130.0,1183.0,-53.0,-4.4801,148099.16,16696837.095,False,False,1129.7649999999999,2.4564666103127597
600519.SH,2020-01-03,1117.0,1117.0,1076.9,1078.56,1130.0,-51.44,-4.5522,130318.78,14266380.595999999,False,False,1097.365,3.548672566371673
600519.SH,2020-01-06,1070.86,1092.9,1067.3,1077.99,1078.56,-0.57,-0.0528,63414.78,6853917.601,False,False,1077.2625,2.3735350838154705
600519.SH,2020-01-07,1077.5,1099.0,1076.4,1094.53,1077.99,16.54,1.5343,47853.59,5220697.068,False,False,1086.8575,2.096494401617817
600519.SH,2020-01-08,1085.05,1095.5,1082.58,1088.14,1094.53,-6.39,-0.5838,25008.25,2720371.915,False,False,1087.8175,1.1804153380903286
600519.SH,2020-01-09,1094.0,1105.39,1090.0,1102.7,1088.14,14.56,1.3381,37405.87,4110949.814,False,False,1098.0225,1.4143400665355652
600519.SH,2020-01-10,1109.0,1115.99,1102.5,1112.5,1102.7,9.8,0.8887,35975.87,3993457.1180000002,False,False,1109.9975,1.223360841570691
600519.SH,2020-01-13,1112.5,1129.2,1112.0,1124.27,1112.5,11.77,1.058,38515.75,4325687.959,False,False,1119.4924999999998,1.5460674157303411
600519.SH,2020-01-14,1124.2,1124.89,1103.0,1107.4,1124.27,-16.87,-1.5005,35144.65,3916300.79,False,False,1114.8725,1.9470411911729477
600519.SH,2020-01-15,1109.01,1121.6,1105.0,1112.13,1107.4,4.73,0.4271,26029.11,2895603.6739999996,False,False,1111.935,1.499006682318937
600519.SH,2020-01-16,1118.87,1118.87,1102.58,1107.0,1112.13,-5.13,-0.4613,23191.65,2571593.141,False,False,1111.83,1.4647568179978925
600519.SH,2020-01-17,1110.0,1112.78,1101.01,1107.5,1107.0,0.5,0.0452,23472.75,2599645.144,False,False,1107.8225,1.0632339656729883
600519.SH,2020-01-20,1111.86,1111.86,1082.0,1091.0,1107.5,-16.5,-1.4898,35391.3,3858246.8439999996,False,False,1099.1799999999998,2.6961625282166954
600519.SH,2020-01-21,1081.0,1087.0,1072.3,1075.3,1091.0,-15.7,-1.439,32874.05,3542441.308,False,False,1078.9,1.3473877176901965
